KAIBOT 关节SDO对象字典
索引	子索引	数据长度	描述
0x2010	0x01	2	驱动器状态
0x2010	0x02	4	位置反馈
0x2010	0x03	4	速度反馈
0x2010	0x04	4	扭矩反馈
0x2010	0x05	2	错误代码
0x2009	0x10	2	编码器电机电流反馈
0x2009	0x11	2	编码器负载电流反馈
0x2009	0x1A	2	-
0x2009	0x1B	2	-
0x2009	0x1C	2	-
0x2009	0x1D	2	-
0x6041	0x00	2	状态字
0x6061	0x00	2	操作模式显示
0x2002	0x03	4	-
0x2002	0x04	4	-
0x2002	0x05	4	-
0x2002	0x06	4	-
0x2024	0x03	2	校准状态
0x2024	0x04	2	电气方向/扭矩方向
0x2024	0x05	4	电气偏移
0x2024	0x06	4	机械偏移
0x2024	0x07	4	机械偏移(电机)
0x2024	0x08	2	扭矩偏移
0x2009	0x20	4	-
0x202F	0x08	2	采样计数
0x6091	0x01	4	速度环位置因子
0x2009	0x13	2	电机电压
0x2009	0x15	2	电机电流

2. 对象字典详细列表
2.1 0x2002 - 故障相关
子索引	数据长度	访问	描述
0x02	4	R/W	故障掩码
0x03	4	R	-
0x04	4	R	-
0x05	4	R	-
0x06	4	R	-

2.2 0x2007 - 保护阈值
子索引	数据长度	访问	描述
0x01	1	R/W	过压阈值
0x02	1	R/W	欠压阈值
0x03	1	R/W	过相电流阈值
0x04	1	R/W	温度1故障阈值
0x05	1	R/W	温度1警告阈值
0x06	1	R	温度2故障阈值
0x07	1	R	温度2警告阈值
0x08	1	R	温度3故障阈值
0x09	1	R	温度3警告阈值
0x0A	1	R	温度4故障阈值
0x0B	1	R	温度4警告阈值

2.3 0x2009 - 实时数据
子索引	数据长度	访问	描述
0x01	2	R	直流电压 (V)
0x02	2	R	直流电流 (A)
0x0B	2	R	MOS1温度 (℃)
0x0C	2	R	MOS2温度 (℃)
0x0D	2	R	MCU温度 (℃)
0x0E	2	R	电机温度 (℃)
0x0F	4	R	编码器电机电流反馈
0x10	4	R	编码器负载电流反馈
0x11	2	R	扭矩传感器原始电流
0x12	2	R	电机电压 (V)
0x13	2	R	电机电流 (A)
0x15	2	R	电机电流
0x1A	2	R	-
0x1B	2	R	-
0x1C	2	R	-
0x1D	2	R	-
0x20	4	R	-

2.4 0x2010 - 驱动器状态和反馈
子索引	数据长度	访问	描述
0x01	2	R	驱动器状态字
0x02	4 2	R	位置反馈 (rad)
0x03	4 2	R	速度反馈 (rad/s)
0x04	4 2	R	扭矩反馈 (Nm)
0x05	2	R	错误代码

2.5 0x2011 - 控制命令和参数
子索引	数据长度	访问	描述
0x01	2	W	控制命令
0x02	4	R/W	位置参考 (rad)
0x03	4	R/W	速度参考 (rad/s)
0x04	4	R/W	扭矩参考 (Nm)
0x05	2	R	PVT Kp参数
0x06	2	R	PVT Kd参数

2.6 0x2020 - 扭矩选择
子索引	数据长度	访问	描述
0x00	2	R/W	扭矩选择 (0=电流, 1=扭矩)

2.7 0x2021 - 电流/扭矩特性
子索引	数据长度	访问	描述
0x01	2	R/W	F0
0x02	2	R/W	Ksi0
0x03	2	R/W	Kt
0x04	2	R/W	Fn
0x05	2	R/W	Ksin
0x08	2	R/W	整形滤波使能

2.8 0x2022 - ATR增益参数
子索引	数据长度	访问	描述
0x01	2	R/W	前馈增益 (FFW)
0x02	2	R/W	比例增益 (P)
0x03	2	R/W	积分增益 (I)
0x04	2	R/W	微分增益 (D)
0x05	2	R/W	-
0x06	2	R/W	-
0x07	2	R/W	零交叉带宽 (ZCBW)
0x08	2	R/W	指令滤波使能

2.9 0x2023 - ATR观测器参数
